id,release_date,primary_title,production_budget,domestic_gross,worldwide_gross,movie_id,original_title,runtime_minutes,genre1,genre2,genre3
29,2014,Sabotage,35000000,10508518,18376443,tt1742334,Sabotage,109.0,Action,Crime,Drama
20,2013,Getaway,18000000,10501938,11813989,tt2167202,Getaway,90.0,Action,Crime,Thriller
17,2016,Live by Night,65000000,10378555,21774432,tt2361317,Live by Night,129.0,Action,Crime,Drama
32,2015,Unfinished Business,35000000,10219501,13214051,tt4998626,Unfinished Business,,Romance,,
34,2019,The Best of Enemies,10000000,10205616,10205616,tt4807408,The Best of Enemies,133.0,Biography,Drama,History
21,2017,The Belko Experiment,5000000,10166820,11792942,tt1082807,The Belko Experiment,89.0,Horror,Thriller,
33,2015,The Walk,35000000,10161183,61492104,tt2159988,The Walk,89.0,Crime,Thriller,
7,2017,Marshall,12000000,10051659,10116816,tt5301662,Marshall,118.0,Biography,Crime,Drama
47,2016,The Lady in the Van,6000000,10021175,42320503,tt3722070,The Lady in the Van,104.0,Biography,Comedy,Drama
22,2016,The Perfect Match,5000000,9669521,10182050,tt4871980,The Perfect Match,96.0,Comedy,Romance,
47,2016,Popstar Never Stop Never Stopping,20000000,9496130,9537120,tt3960412,Popstar: Never Stop Never Stopping,87.0,Comedy,Music,
42,2013,Bullet to the Head,55000000,9489829,22597969,tt1308729,Bullet to the Head,92.0,Action,Crime,Thriller
48,2017,Thank You for Your Service,20000000,9479390,9985316,tt2776878,Thank You for Your Service,109.0,Documentary,Drama,
47,2017,Rock Dog,60000000,9420546,24148488,tt2822672,Rock Dog,90.0,Adventure,Animation,Comedy
10,2012,Fun Size,14000000,9409538,11166615,tt1663143,Fun Size,86.0,Adventure,Comedy,
100,2016,Hardcore Henry,2000000,9252038,17187434,tt3072482,Hardcore Henry,96.0,Action,Adventure,Sci-Fi
48,2012,Bernie,6000000,9204489,10106975,tt5936840,Bernie,155.0,Family,,
98,2013,Peeples,11000000,9177065,9307166,tt1699755,Peeples,95.0,Comedy,Romance,
39,2016,Meet the Blacks,900000,9097072,9097072,tt4191580,Meet the Blacks,94.0,Comedy,Horror,
51,2013,Battle of the Year,20000000,8888355,16723377,tt1532958,Battle of the Year,110.0,Drama,Music,
6,2016,Queen of Katwe,15000000,8874389,10055481,tt4341582,Queen of Katwe,124.0,Biography,Drama,Sport
29,2018,Unfriended Dark Web,1000000,8866745,16434588,tt4761916,Unfriended: Dark Web,92.0,Crime,Horror,Mystery
39,2013,Movie 43,10000000,8840453,31164747,tt1333125,Movie 43,94.0,Comedy,,
40,2018,Can You Ever Forgive Me,10000000,8803865,11752387,tt4595882,Can You Ever Forgive Me?,106.0,Biography,Comedy,Crime
82,2017,The Lost City of Z,30000000,8574339,17121823,tt1212428,The Lost City of Z,141.0,Adventure,Biography,Drama
35,2013,Mandela Long Walk to Freedom,35000000,8323085,29890402,tt2304771,Mandela: Long Walk to Freedom,141.0,Biography,Drama,History
98,2018,Early Man,50000000,8267544,45285890,tt4701724,Early Man,89.0,Adventure,Animation,Comedy
78,2017,The Promise,90000000,8224288,10551417,tt6072400,The Promise,90.0,Action,,
86,2015,Bajrangi Bhaijaan,13000000,8178001,121778347,tt3863552,Bajrangi Bhaijaan,163.0,Action,Comedy,Drama
56,2014,Inherent Vice,20000000,8110975,14772346,tt1791528,Inherent Vice,148.0,Comedy,Crime,Drama
99,2013,Before Midnight,3000000,8110621,23251930,tt2209418,Before Midnight,109.0,Drama,Romance,
60,2013,Dhoom 3,24000000,8031955,11723620,tt1833673,Dhoom:3,172.0,Action,Thriller,
58,2013,Machete Kills,20000000,8008161,18273009,tt2002718,Machete Kills,107.0,Action,Crime,Sci-Fi
47,2015,Blackhat,70000000,8005980,19665004,tt2717822,Blackhat,133.0,Action,Crime,Thriller
9,2012,Arbitrage,12000000,7919574,35830713,tt1764183,Arbitrage,107.0,Drama,Thriller,
84,2017,The Space Between Us,30000000,7885294,16481405,tt3922818,The Space Between Us,120.0,Adventure,Drama,Romance
44,2014,Bad Words,10000000,7779614,7843145,tt2170299,Bad Words,89.0,Comedy,Drama,
92,2016,Loving,9000000,7710234,12898064,tt4669986,Loving,123.0,Biography,Drama,Romance
48,2015,Mortdecai,60000000,7696134,30396134,tt3045616,Mortdecai,107.0,Action,Comedy,Crime
70,2018,Unsane,1500000,7690044,14244931,tt7153766,Unsane,98.0,Drama,Horror,Mystery
95,2018,Beautiful Boy,25000000,7634767,13031424,tt1533013,Beautiful Boy,100.0,Drama,,
13,2013,Promised Land,15000000,7597898,12394562,tt2091473,Promised Land,106.0,Documentary,,
45,2015,While Were Young,10000000,7582065,17503828,tt1791682,While We're Young,97.0,Comedy,Drama,Mystery
19,2013,Paranoia,40000000,7388654,16340767,tt4025788,Paranoia,85.0,Drama,Thriller,
3,2017,Let There Be Light,3000000,7233471,7241309,tt3386948,Let There Be Light,52.0,Documentary,,
31,2015,The Green Inferno,1000000,7192291,12931420,tt2403021,The Green Inferno,100.0,Adventure,Horror,
32,2017,I Am Not Your Negro,1000000,7123919,9617402,tt5804038,I Am Not Your Negro,93.0,Documentary,,
42,2016,Silence,46500000,7100177,23726626,tt2275949,Silence,87.0,Biography,Documentary,
48,2012,Seeking a Friend for the End of the World,10000000,7078738,11766959,tt1307068,Seeking a Friend for the End of the World,101.0,Adventure,Comedy,Drama
63,2013,Black Nativity,17500000,7018188,7285135,tt1425922,Black Nativity,93.0,Drama,Family,Music
34,2017,Birth of the Dragon,31000000,6901965,7220490,tt2720826,Birth of the Dragon,95.0,Action,Biography,Drama
50,2016,Shut In,10000000,6900335,11360665,tt2582500,Shut In,91.0,Drama,Mystery,Thriller
39,2016,The Brothers Grimsby,35000000,6864016,28720470,tt3381008,Grimsby,83.0,Action,Adventure,Comedy
22,2013,The Spectacular Now,2500000,6852971,6916951,tt1714206,The Spectacular Now,95.0,Comedy,Drama,Romance
52,2012,The Collection,10000000,6810754,8890094,tt1748227,The Collection,82.0,Action,Horror,Thriller
100,2015,Me and Earl and the Dying Girl,8000000,6758416,9266180,tt2582496,Me and Earl and the Dying Girl,105.0,Comedy,Drama,Romance
51,2012,Amour,9700000,6738954,36787044,tt1602620,Amour,127.0,Drama,Romance,
21,2015,Baahubali The Beginning,40000000,6738000,26736665,tt2631186,Bahubali: The Beginning,159.0,Action,Drama,
15,2018,Hotel Artemis,15000000,6708137,12758799,tt5834262,Hotel Artemis,94.0,Action,Drama,Sci-Fi
40,2017,The Snowman,35000000,6670765,43226146,tt1758810,The Snowman,119.0,Crime,Drama,Mystery
65,2015,Little Boy,20000000,6485961,17769299,tt1810683,Little Boy,106.0,Drama,History,War
17,2016,The Young Messiah,16800000,6469813,7313697,tt1002563,The Young Messiah,111.0,Drama,Fantasy,
95,2017,Same Kind of Different as Me,6500000,6423605,6423605,tt1230168,Same Kind of Different as Me,119.0,Biography,Drama,
29,2018,Fahrenheit 119,5000000,6352306,6653715,tt8632862,Fahrenheit 11/9,128.0,Documentary,,
35,2017,Lowriders,916000,6179955,6188421,tt1366338,Lowriders,98.0,Adventure,Crime,Drama
22,2018,The Hurricane Heist,40000000,6115824,30963684,tt5360952,The Hurricane Heist,103.0,Action,Adventure,Crime
33,2014,The Interview,44000000,6105175,12342632,tt2788710,The Interview,112.0,Documentary,,
